date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:36:54	46059/46059	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:02%20GMT	https://www.sitepro.com.ar/web/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/index.html	(from )
09:36:55	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-55a1e65673e2b%22	https://www.sitepro.com.ar/robots.txt		(from )
09:36:56	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2021%20Jan%202019%2012:37:04%20GMT	https://www.sitepro.com.ar/web/xmlrpc.php	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/xmlrpc.php	(from https://www.sitepro.com.ar/web/)
09:36:56	25658/25658	---M--	200	added ('OK')	text/css	etag:%225c3c2d7e-643a%22	https://www.sitepro.com.ar/web/wp-includes/css/dist/block-library/style.min.css?ver=5.0.3	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-includes/css/dist/block-library/style.minaead.css	(from https://www.sitepro.com.ar/web/)
09:36:56	2847/2847	---M--	200	added ('OK')	text/css	etag:%225b3fc8a8-b1f%22	https://www.sitepro.com.ar/web/wp-content/plugins/easy-sidebar-menu-widget/assets/css/easy-sidebar-menu-widget.css?ver=5.0.3	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/plugins/easy-sidebar-menu-widget/assets/css/easy-sidebar-menu-widgetaead.css	(from https://www.sitepro.com.ar/web/)
09:36:56	3829/3829	---M--	200	added ('OK')	text/css	etag:%225bdc981f-ef5%22	https://www.sitepro.com.ar/web/wp-content/plugins/modula-best-grid-gallery/scripts/modula.css?ver=1.3.2	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/plugins/modula-best-grid-gallery/scripts/modula9e1e.css	(from https://www.sitepro.com.ar/web/)
09:36:57	2547/2547	---M--	200	added ('OK')	text/css	etag:%225bdc981f-9f3%22	https://www.sitepro.com.ar/web/wp-content/plugins/modula-best-grid-gallery/scripts/effects.css?ver=1.3.2	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/plugins/modula-best-grid-gallery/scripts/effects9e1e.css	(from https://www.sitepro.com.ar/web/)
09:36:57	20766/20766	---M--	200	added ('OK')	text/css	etag:%225b97edf4-511e%22	https://www.sitepro.com.ar/web/wp-content/plugins/responsive-accordion-and-collapse/css/font-awesome/css/font-awesome.min.css?ver=5.0.3	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/plugins/responsive-accordion-and-collapse/css/font-awesome/css/font-awesome.minaead.css	(from https://www.sitepro.com.ar/web/)
09:36:57	14857/14857	---M--	200	added ('OK')	text/css	etag:%225b97edf4-3a09%22	https://www.sitepro.com.ar/web/wp-content/plugins/responsive-accordion-and-collapse/css/bootstrap-front.css?ver=5.0.3	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/plugins/responsive-accordion-and-collapse/css/bootstrap-frontaead.css	(from https://www.sitepro.com.ar/web/)
09:36:57	7747/7747	---MC-	200	added ('OK')	application/rss+xml	etag:%22d921a609c5b7824eeb29ad9b163aa061%22	https://www.sitepro.com.ar/web/feed/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/feed/index.html	(from https://www.sitepro.com.ar/web/)
09:36:58	1010/1010	---M--	200	added ('OK')	text/css	etag:%223f2-570a6d8f92f5e%22	https://www.sitepro.com.ar/web/wp-content/plugins/widget-options/assets/css/widget-options.css	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/plugins/widget-options/assets/css/widget-options.css	(from https://www.sitepro.com.ar/web/)
09:36:58	37537/37537	---M--	200	added ('OK')	text/css	etag:%225b843241-92a1%22	https://www.sitepro.com.ar/web/wp-content/themes/radiate/style.css?ver=5.0.3	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/themes/radiate/styleaead.css	(from https://www.sitepro.com.ar/web/)
09:36:58	797/797	---MC-	200	added ('OK')	application/rss+xml	etag:%22855b24a8acb18dcf02ae63d49246063e%22	https://www.sitepro.com.ar/web/comments/feed/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/comments/feed/index.html	(from https://www.sitepro.com.ar/web/)
09:36:58	28529/28529	---M--	200	added ('OK')	text/css	etag:%225af0b4c8-6f71%22	https://www.sitepro.com.ar/web/wp-content/themes/radiate/genericons/genericons.css?ver=3.3.1	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/themes/radiate/genericons/genericons3d36.css	(from https://www.sitepro.com.ar/web/)
09:36:59	67158/67158	---M--	200	added ('OK')	text/css	etag:%225af0b4c7-10656%22	https://www.sitepro.com.ar/web/wp-content/plugins/master-slider/public/assets/css/masterslider.main.css?ver=3.5.0	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/plugins/master-slider/public/assets/css/masterslider.main3b71.css	(from https://www.sitepro.com.ar/web/)
09:36:59	321/321	---M--	200	added ('OK')	text/css	etag:%22141-5729bdc35d244%22	https://www.sitepro.com.ar/web/wp-content/uploads/master-slider/custom.css?ver=13.7	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/uploads/master-slider/customb329.css	(from https://www.sitepro.com.ar/web/)
09:36:59	97184/97184	---M--	200	added ('OK')	application/javascript	etag:%225c3c2d7f-17ba0%22	https://www.sitepro.com.ar/web/wp-includes/js/jquery/jquery.js?ver=1.12.4	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-includes/js/jquery/jqueryb8ff.js	(from https://www.sitepro.com.ar/web/)
09:36:59	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%225c3c2d7f-2748%22	https://www.sitepro.com.ar/web/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://www.sitepro.com.ar/web/)
09:37:00	19061/19061	---M--	200	added ('OK')	application/javascript	etag:%225bdc981f-4a75%22	https://www.sitepro.com.ar/web/wp-content/plugins/modula-best-grid-gallery/scripts/jquery.modula.js?ver=5.0.3	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/plugins/modula-best-grid-gallery/scripts/jquery.modulaaead.js	(from https://www.sitepro.com.ar/web/)
09:37:00	872/872	---MC-	200	added ('OK')	text/xml	date:Mon,%2021%20Jan%202019%2012:37:08%20GMT	https://www.sitepro.com.ar/web/xmlrpc.php?rsd	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/xmlrpc0db0.php	(from https://www.sitepro.com.ar/web/)
09:37:00	1045/1045	---M--	200	added ('OK')	text/xml	etag:%225c3c2d80-415%22	https://www.sitepro.com.ar/web/wp-includes/wlwmanifest.xml	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-includes/wlwmanifest.xml	(from https://www.sitepro.com.ar/web/)
09:37:01	2240/2240	---MC-	200	added ('OK')	application/json	date:Mon,%2021%20Jan%202019%2012:37:09%20GMT	https://www.sitepro.com.ar/web/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.sitepro.com.ar%2Fweb%2F	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-json/oembed/1.0/embede6a5.json	(from https://www.sitepro.com.ar/web/)
